timestamp,open,high,low,close,volume
2007-12-28,45.0900,51.2600,44.8700,51.2600,32527911
2007-11-30,46.4000,49.4400,44.2900,45.4700,42254108
2007-10-31,45.9400,46.2700,43.1000,46.0500,32996161
2007-09-28,43.3200,46.0800,42.1500,46.0000,27647692
2007-08-31,43.8000,45.1700,40.8400,43.1500,49412506
2007-07-31,46.5700,48.1600,42.4000,44.8200,42191518
2007-06-29,47.3300,47.4700,43.4000,46.7800,45826457
2007-05-31,43.5000,47.5500,41.7000,47.4400,62846148
2007-04-30,40.7300,47.1900,40.6300,43.8500,68579042
2007-03-30,37.2800,41.2400,34.5000,40.9300,75962918
2007-02-28,37.0500,38.8000,36.7500,37.1200,38109330
2007-01-31,37.7800,38.8300,36.3600,36.9200,43980442
2006-12-29,37.1100,38.4300,36.0300,37.7300,32756879
2006-11-30,39.4000,41.5200,36.3400,37.1900,65684793
2006-10-31,37.2800,39.8400,36.4000,39.2600,36704228
2006-09-29,37.2000,37.4900,35.1400,37.1000,41482851
2006-08-31,36.2500,38.5500,35.3000,37.2000,37625829
2006-07-31,37.5000,38.5600,34.6600,36.5200,27311328
2006-06-30,38.6550,39.2475,34.8600,37.3800,46748400
2006-05-31,42.1250,43.3750,36.9200,38.7000,220022032
2006-04-28,41.3750,43.4650,41.2500,41.8375,144631568
2006-03-31,41.1000,41.8725,38.4325,40.7975,285697696
2006-02-28,43.1750,43.7750,40.8125,41.0050,154208384
2006-01-31,40.3750,44.0000,40.3750,43.0250,146077456
2005-12-30,37.2500,40.7375,37.1750,40.0000,117090432
2005-11-30,34.8675,37.4675,34.5000,37.2725,185287456
2005-10-31,36.3550,38.3100,33.3825,34.9975,209442544
2005-09-30,36.4400,37.0925,34.6875,36.1450,135498576
2005-08-31,37.3500,41.0000,34.9050,36.1500,278111568
2005-07-29,34.7275,37.9075,33.5050,37.3500,107316816
2005-06-30,33.8250,35.9375,33.3175,34.6275,98497152
2005-05-31,30.7625,34.0900,30.6550,33.7625,144848528
2005-04-29,30.8125,31.3775,29.4125,30.0250,93969480
2005-03-31,28.3750,30.9750,27.8800,30.6050,140717040
2005-02-28,28.7500,29.4825,27.7825,28.3700,138375600
2005-01-31,29.8550,30.3250,28.4500,28.7125,122567296
2004-12-31,29.4850,30.8300,29.0525,29.6875,99600992
2004-11-30,27.3150,30.3975,27.2350,29.4850,146894844
2004-10-29,28.1725,29.8950,26.0000,27.3825,147612560
2004-09-30,26.6125,28.6925,26.2125,28.0875,132143312
2004-08-31,24.6350,27.0500,24.3375,26.4075,170780624
2004-07-30,24.7775,25.0000,23.3000,24.6975,110202112
2004-06-30,24.5275,25.1000,24.0625,24.5325,109515232
